ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
0050,1,87.15,1,88.05,-1,88.00,-1,87.25,1,87.45
0051,1,32.49,1,33,1,32.72,1,32.75,-1,32.44
0052,-1,57.75,1,58.5,1,59.8,-1,59,-1,57.9
0053,1,37.38,1,37.92,-1,37.44,-1,37.2,1,37.44
0054,1,24.63,1,24.94,-1,24.05,1,24.63,1,24.7
0055,-1,17.1,0,17.1,-1,17,0,17,1,17.02
0056,-1,26,1,26.25,-1,26.17,1,26.32,1,26.45
0057,1,52.4,1,52.9,-1,52.6,1,52.9,-1,52.05
0058,1,46.56,1,47.02,1,47.27,0,47.27,1,47.37
0059,-1,41.9,1,42.07,-1,41.44,0,41.44,1,41.9
006201,-1,14.98,1,15.27,-1,15.00,-1,14.97,-1,14.90
006203,1,40.24,1,40.84,-1,40.27,1,40.42,-1,40.40
006204,1,55.35,1,55.70,-1,55.35,1,55.40,1,55.45
006208,1,49.75,1,49.8,1,49.85,1,49.11,-1,49.35
00690,1,22.48,1,22.44,-1,22.24,1,22.28,-1,22.42
00692,1,22.14,1,22.23,-1,22.04,1,22.12,1,22.19
00701,1,21.46,1,21.5,-1,21.38,1,21.41,0,21.41
00713,-1,31.22,-1,31.1,-1,31.07,1,31.14,-1,31.12
